product_id,brand,title,ingredient_name,amount,daily_value,serving_size
88582,California Gold Nutrition,"California Gold Nutrition, 含吡咯喹啉醌的辅酶 Q10，泛醌 USP，木薯淀粉素食软胶囊，含向日葵卵磷脂，100 毫克，60 粒素食软胶囊",辅酶 Q10（泛醌 USP）,100 毫克,†,1 粒软凝胶
88582,California Gold Nutrition,"California Gold Nutrition, 含吡咯喹啉醌的辅酶 Q10，泛醌 USP，木薯淀粉素食软胶囊，含向日葵卵磷脂，100 毫克，60 粒素食软胶囊",吡咯喹啉醌二钠盐（PQQ）,10 毫克,†,1 粒软凝胶
61073,California Gold Nutrition,"California Gold Nutrition, 辅酶 Q10 素食软胶囊，100 毫克，30 粒装",辅酶 Q10 USP （泛醌）,100 毫克,†,1 粒素食软胶囊
97389,California Gold Nutrition,"California Gold Nutrition, 含 PQQ 辅酶 Q10，60 粒素食胶囊",辅酶 Q10（泛醌 USP）,100 毫克,†,1 粒胶囊
97389,California Gold Nutrition,"California Gold Nutrition, 含 PQQ 辅酶 Q10，60 粒素食胶囊",吡咯喹啉醌二钠盐 (PQQ),10 毫克,†,1 粒胶囊
91610,California Gold Nutrition,"California Gold Nutrition, 辅酶 Q10，泛醌 USP，含 Bioperine® 黑胡椒提取物，生物利用率提高，100 毫克，150 粒素食胶囊",辅酶 Q10（泛醌 USP）,100 毫克,†,1 粒胶囊
91610,California Gold Nutrition,"California Gold Nutrition, 辅酶 Q10，泛醌 USP，含 Bioperine® 黑胡椒提取物，生物利用率提高，100 毫克，150 粒素食胶囊",黑胡椒提取物（果）（标准化为含 95% 胡椒鹼）,5 毫克,†,1 粒胶囊
10930,Doctor's Best,"Doctor's Best, 高吸收辅酶 Q10，100 毫克，120 粒软胶囊",辅酶 Q10（泛醌）,100 毫克,†,1 粒软胶囊
10930,Doctor's Best,"Doctor's Best, 高吸收辅酶 Q10，100 毫克，120 粒软胶囊",黑胡椒提取物（Piper nigrum）（果）（标准化为含 95% 胡椒碱）（BioPerine®）,5 毫克,†,1 粒软胶囊
16552,NOW Foods,"NOW Foods, 辅酶 Q10，200 毫克，60 粒素食胶囊",辅酶 Q10 (CoQ10)（泛醌）,200 毫克,**,1 粒素食胶囊
61074,California Gold Nutrition,"California Gold Nutrition, 辅酶 Q10 素食软胶囊，100 毫克，120 粒",辅酶 Q10（泛醌 USP）,100 毫克,†,1 粒软胶囊
15658,Doctor's Best,"Doctor's Best, 高吸收率辅酶 Q10，含 BioPerine®，100 毫克，120 粒素食胶囊",辅酶 Q10（泛醌）,100 毫克,†,1 粒素食胶囊
15658,Doctor's Best,"Doctor's Best, 高吸收率辅酶 Q10，含 BioPerine®，100 毫克，120 粒素食胶囊",黑胡椒提取物（胡椒）（果）（标准化为含 95% 胡椒碱）（BioPerine®）,5 毫克,†,1 粒素食胶囊
80052,Life Extension,"Life Extension, 具有加强型线粒体帮助功能的超级泛醇辅酶Q10，100毫克，30粒软胶囊",热量,5,,1 粒软胶囊
80052,Life Extension,"Life Extension, 具有加强型线粒体帮助功能的超级泛醇辅酶Q10，100毫克，30粒软胶囊",脂肪总量,0.5 克,1%†,1 粒软胶囊
